datetime,message,source
2023-12-26 00:45:48.610000+00:00,https://google.com/ (NID) Flags: [HTTP only]: True,WEBHIST
2023-12-26 00:45:48.610000+00:00,https://google.com/verify (SNID) Flags: [HTTP only]: True,WEBHIST
2023-12-26 00:45:48.610010+00:00,https://google.com/verify (SNID) Flags: [HTTP only]: True,WEBHIST
2023-12-26 00:45:48.610010+00:00,https://google.com/verify (SNID) Flags: [HTTP only]: True,WEBHIST
2023-12-26 00:45:52.536113+00:00,Prefetch [RUNTIMEBROKER.EXE] was executed - run count 6 path hints: \WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE hash: 0x13F48958 volume: 1 [serial number: 0x5CE1DF5A  device path: \VOLUME{01da182ce1985a64-5ce1df5a}],LOG
2023-12-26 00:45:54.632798+00:00,Prefetch [RUNTIMEBROKER.EXE] was executed - run count 9 path hints: \WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE hash: 0xA171222F volume: 1 [serial number: 0x5CE1DF5A  device path: \VOLUME{01da182ce1985a64-5ce1df5a}],LOG
2023-12-26 00:45:57.336000+00:00,http://www.google.com/ (DV) Flags: [HTTP only]: False,WEBHIST
2023-12-26 00:45:57.336000+00:00,http://www.google.com/ (DV) Flags: [HTTP only]: False,WEBHIST
2023-12-26 00:45:57.336000+00:00,http://www.google.com/ (DV) Flags: [HTTP only]: False,WEBHIST
2023-12-26 00:45:57.336000+00:00,http://www.google.com/ (DV) Flags: [HTTP only]: False,WEBHIST
2023-12-26 00:46:04.133000+00:00,https://google.com/ (1P_JAR) Flags: [HTTP only]: False,WEBHIST
2023-12-26 00:46:04.133000+00:00,https://google.com/ (1P_JAR) Flags: [HTTP only]: False,WEBHIST
2023-12-26 00:46:04.332000+00:00,https://google.com/ (ANID) Flags: [HTTP only]: True,WEBHIST
2023-12-26 00:46:04.332000+00:00,https://google.com/ (ANID) Flags: [HTTP only]: True,WEBHIST
2023-12-26 00:46:04.332000+00:00,https://google.com/ (ANID) Flags: [HTTP only]: True,WEBHIST
2023-12-26 00:46:04.332000+00:00,https://google.com/ (ANID) Flags: [HTTP only]: True,WEBHIST
